Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSORA MARIA LAURETANEA ROLIM BEZERRA DO VALE,24000019,RN,Areia Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA JOSE AMARO DE SOUZA, COHAB. 59655-000 Areia Branca - RN.",(84) 33323531,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,Atendimento Educacional Especializado,-4.95440445,-37.12390302
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DESEMBARGADOR SILVERIO SOARES,24000027,RN,Areia Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FORTALEZA, 272 NORDESTE. 59655-000 Areia Branca - RN.",(84) 33325047,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Médio, Educação Profissional",,-4.9496798,-37.1259517
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL CONEGO ISMAR FERNANDES DE QUEIROZ,24000132,RN,Areia Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"BR 110 KM 01, BAIRRO ILHA. 59655-000 Areia Branca - RN.",(84) 33325042,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,"Ensino Fundamental, Ensino Médio, Educação de Jovens Adultos",,-4.9451545,-37.1190972
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL CONSELHEIRO BRITO GUERRA,24000140,RN,Areia Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA MESTRE SILVERIO BARRETO, 247 CENTRO. 59655-000 Areia Branca - RN.",(84) 33323039,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Ensino Médio,,-4.956819,-37.13454
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL DOUTOR DAGMAR SABINO,24000175,RN,Areia Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA RUI BARBOSA, CENTRO. 59655-000 Areia Branca - RN.",(84) 33322519,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL ELITA MONTE,24000191,RN,Areia Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA RUI BARBOSA, SAO JOAO. 59655-000 Areia Branca - RN.",(84) 33325046,Estadual,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação de Jovens Adultos,,-4.9508941,-37.1332185
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL PROFESSORA ANTONIA GIRLANDE BRUNO DA SILVA,24000213,RN,Areia Branca,Urbana,A escola não está em área de localização diferenciada,Pública,"R DR BRAZ BENEDITO DE MENDONCA, COHAB. 59655-000 Areia Branca - RN.",(84) 33323398,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,                              ,                              
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JOAO DE ABREU,24000647,RN,Baraúna,Urbana,A escola não está em área de localização diferenciada,Pública,"AVENIDA JERONIMO ROSADO, 426 CENTRO. 59695-000 Baraúna - RN.",(84) 33204756,Estadual,Não Informado,Não,Sim,Mais de 1000 matrículas de escolarização,Ensino Médio,,-5.0808323,-37.6146557
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL JUSTINA DO NASCIMENTO,24000655,RN,Baraúna,Rural,A escola não está em área de localização diferenciada,Pública,"RUA LUIZ MENDES, JUREMAL. 59695-000 Baraúna - RN.",(84) 999014041,Estadual,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Ensino Fundamental,,-5.1007594,-37.5453201
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,ESCOLA ESTADUAL MARIANO AZEVEDO,24000663,RN,Baraúna,Urbana,A escola não está em área de localização diferenciada,Pública,"RUA FRANCISCO DE AQUINO, 2730 CENTRO. 59695-000 Baraúna - RN.",,Estadual,Não Informado,Não,Sim,Até 50 matrículas de escolarização,Ensino Fundamental,,-5.0946249,-37.5917775
